# iname	color	charname
<nul>	#000000	Malroth
seawater-filled bottomless pot	#a6ac75	Bonanzo
medicinal herb	#6eb1a1	pastor's pal
slimespawn	#ffffff	Rosie
transform-o-trowel	#985322	Captain Brownbeard
cactus seed	#6397c5	Perry
antidotal herb	#e7d9c7	Wrigley
anvil	#ffffff	Furrowfield retriever
citadel bracket	#ceccbb	
corrupted cactus	#b9cee5	
patterned citadel wall	#959fbd	
corrupted cactus	#e7c46e	
wooden grating	#93582e	
seed of life *	#493b26	Lulu
wooden grating	#d8ce88	*
wooden grating	#b29da3	*
defuddle drops	#ab75ab	cat
tingle tablet	#584d45	cow
wooden grating	#fff2d6	chicken
wooden grating	#9c948f	sheep
planted earth	#ffffff	kitten
wooden grating	#dacdc5	soldier
wooden grating	#c1af95	bodkin archer
wooden grating	#ffffff	Saffron
poled and planted earth	#9c948f	fat rat
ladder	#ffffff	Lillian
ladder	#b08053	fat rat
ladder	#ffffff	fat rat
ladder	#ffffff	brainy badboon
mountaintop temple	#ffffff	Test: Pet
small window	#ffffff	Test: Livestock
bottomless pot	#88beff	Text: Monster
fishing rod	#94f494	
beacon of erdrick *	#d2a983	Pastor Al
<< black block>>	#664d3b	fat rat
key *	#bf6060	bodkin archer
rubber ring	#ffffff	fat rat
spaceship corner capital	#865f3b	fat rat
spaceship corner midsection	#dadcc5	orc
spaceship corner foundation	#ffffff	bodkin archer
spaceship capital	#b08053	rough rancher
reinforced iron corner	#7575ab	avid agriculturalist
comfy stool	#ebe4e7	fervent farmer
comfy stool	#7575ab	slime
sprigtide sprinkles	#c8ba56	orc
connecting tiling	#d8d1cd	fat rat
comfy stool	#dadcc5	blonde bloke
yggdrassil leaf *	#c8ba56	Temp Base Male 1
ladder	#d8cdd0	Temp Base Male 2
comfy stool	#99c8bc	Temp Base Male 3
spaceship foundation	#865f3b	Temp Base Female 1
comfy stool	#a08f84	Temp Base Female 2
builder's workbench	#b08053	Temp Base Female 3
comfy stool	#584d45	Malroth
ladder	#d8cdd0	Malroth
ladder	#865f3b	Milosch
pyramid pinacle	#ecebea	Britney
ladder	#ebe9e4	inquisitive visitor
silver birch seed	#6d625b	Clayton
wooden grating	#4d3b22	Test Townie 1
comfy stool	#a0691c	Test Townie 2
minecart station	#f1cdb6	Test Townie 3
confusing claw	#9d9dc3	Test Townie 4
comfy stool	#b2a69d	Drazo
flute fragment *	#865f3b	Drazy
<<blue flame>>	#1c6682	Slaris
connecting tiling	#1c6682	virtuous villager
citadel corner	#ffdd8d	reliable resident
flute fragment *	#ff0000	civil citizen
citadel window 8	#ff6900	innkeeper
pyramid pinnacle (MAYBE SLIMY AGAIN?)	#000000	fat rat
slimy tussle ticket	#ff0000	Temp Male Merchant
flattened tussle ticket	#0000ff	ghostly guest
poisonous tussle ticket	#ffff00	chief inspector
roughed-up tussle ticket	#01ff00	cat
torrid tussle ticket	#800080	ex-con
skeletal trouble ticket	#ff8000	ex-con
feathery trouble ticket	#01ffff	ex-con
prickly trouble ticket	#ffffff	*
rotten trouble ticket	#000000	*
ticky trouble ticket	#ff1600	*
frightening trauma ticket	#dda616	Temp Toughie
piercing trauma ticket	#e86e00	prisoner
replendent trauma ticket	#ff0000	prisoner
towering trauma ticket	#260d00	prisoner
(ticket)	#000000	prisoner
(ticket)	#ecebea	prisoner
(ticket)	#9c948f	prisoner
(ticket)	#584d45	Molly
(ticket)	#c5a080	Splodger
(ticket)	#b08053	Smashley
(ticket)	#865f3b	Gottfried
(ticket)	#e4bcbc	guard
(ticket)	#d18f8f	guard
(ticket)	#bf6060	guard
spaceship wall	#e8e2b9	guard
spaceship wall	#d8ce88	guard
spaceship wall	#e7c46e	warden
spaceship wall	#dadcc5	guard
spaceship wall	#bfc39d	guard
blank ticket	#a6ac75	guard
acorn	#ccdcc5	guard
enchanted ember *	#a8c39d	*
pipe 8	#83ab75	
vertical pipe	#c5c5dc	Den
bent pipe 8	#9d9dc3	Magrog
left-to-botom bent pipe	#7575ab	Serge
left-to-top bent pipe	#dcc5dc	Clobbert
right-to-top bent pipe	#c39dc3	Kubacho
downward joint pipe	#ab75ab	Dougie
frame-grilled plumberry	#ecebea	Babs
shrooms-on-a-stick	#9c948f	Bruppo
cactus steak	#6d625b	Relube
pot plant	#c5a080	Anessa
upward joint pipe	#b08053	Samson
cross pipe 8	#865f3b	Digby
borrowed hammer	#e4bcbc	Goldirox
borrowed hammer	#d18f8f	Bobby
borrowed hammer	#bf6060	beefy bloke
snow cone	#e8e2b9	Captain Whitebones
pot plant	#d8ce88	Ship: Sailor 1
storage bay	#c8ba56	Ship: Sailor 2
bouillabaisse	#dadcc5	Ship: Sailor 3
boiled butterbeans	#bfc39d	Ship: Soldier 1
mason's workstation	#a6ac75	Ship: Soldier 2
pot plant	#c2ded8	Ship: Soldier 3
spaceship corner 8	#99c8bc	Ship: Bard
bread	#6eb1a1	Ship: Passenger 1
spaceship wall	#c5c5dc	Ship: Passenger 2
pot plant	#9d9dc3	Ship: Passenger 3
spaceship wall	#7575ab	Ship: Passenger 4
burger	#dcc5dc	Ship: Passenger 5
potato salad	#c39dc3	Ship: Passenger 6
spaceship wall	#ab75ab	Ship: Passenger 7
shiny spaceship wall	#fffefc	Ship: Passenger 8
pot plant	#ebe7e4	guard
shiny spaceship wall	#d8d1cd	guard
shiny spaceship wall	#c5bcb6	guard
searing steak	#b2a69d	guard
coddled egg	#a08f84	guard
fried egg	#8d786c	guard
pot plant	#756358	guard
ice cream	#fefefc	guard
rubber ring	#ebe9e4	guard
shiny spaceship wall	#d8d4cd	guard
pot plant	#c5c1b6	dirty rat
pot plant	#b2ae9d	*
small-scalesoldier	#a09a84	fat rat
small-scale soldier	#8d846c	ratscal
small-scale soldier	#756d58	fat rat
wheat	#fdfcff	fat rat
sugar cane	#ebe4e7	receptionist
<<ship>>	#d8cdd0	fat rat
planted earth	#c5b6ba	fat rat
planted humus	#b29da3	mighty meathead
mud-brick wall rubble	#a0848c	hulking hunk
sheen salts	#8d6c75	tanned toughie
<<deitree large>>	#755860	big beefcake
<<dust>>	#008000	macho chap
tingleweed seed	#d4dbca	swole soul
small window	#383b3d	strapping specimen
small window	#693d80	jacked jock
connecting tiling	#ff7595	fit fellow
grass seed	#d51622	Khrumbul-Dun: Memo 10
connecting tiling	#55a43d	fat rat
connecting tiling	#ffcd2e	fat rat
connecting tiling	#2270ad	ratscal
connecting tiling	#cdcdcd	racing ace
small-scale soldier	#000000	slime
small-scale soldier	#160080	fat rat
shiny spaceship wall	#ff8080	healslime
sailor's stew	#d43540	chimaera
porridge	#457c40	killing machine
shiny spaceship wall	#ffcd80	walking corpse
cream of mushroom soup	#2e6ead	golem
fries	#cd7200	liquid metal slime
fresh fish feast	#000000	great sabrecat
squid-on--stick	#000000	muddy hand
cooked crab claw	#000000	powie yowie
shiny spaceship wall	#000000	living statue
buttermilk	#000000	
shiny spaceship wall	#80ffff	*
(?)	#ff9b3d	*
(?)	#1cff82	*
(?)	#a18758	
(?)	#ffffff	
(?)	#ffffff	
small-scale soldier	#00c900	Medal King
small-scale soldier	#ffeb00	
small-scale soldier	#d01600	*
biblio-pile	#ffffff	hunky he-man
biblio-pile	#c92eba	
biblio-pile	#ff3838	
biblio-pile	#00d1c9	
biblio-pile	#3d9bff	
biblio-pile	#c1f016	
biblio-pile	#006eff	Shane
biblio-pile	#009cff	ripped roughneck
strong medicine *	#ffffff	powie yowie
markedly medicinal leaf *	#ffffff	*
(medicinal herb)	#000000	*
wheatgrass seed	#920000	*
historic hammer	#1c0000	
connecting tiling 8	#380d0d	
ridged wooden roofing 8	#6c4d00	
black coffee	#582a00	
fruity tart	#80400d	
frogstool	#a11c4d	
counter	#a9490d	
crabby croquette	#00225f	
nameplate	#000000	toughie
spaceship wall	#f0f0f0	toughie
shiny spaceship wall	#0000ff	toughie
salmon rice ball	#ff0000	showy showgirl
chicken drumsticks	#ffff00	perky performer
leaf of life ***	#4dff58	dazzling dancer
spaceship corner 8	#c98242	Ordelia
spaceship corner 8	#b54dbf	Jules
spaceship corner 8	#a1a1a1	
spaceship corner 8	#565656	orc
wooden fencing 8	#5f5f5f	bodkin archer
connecting tiling	#5f005f	fat rat
spaceship corner 8	#f0f0f0	fat rat
light bulb ***	#f6eca2	
pub sign	#f04545	madusa
basic bathtub	#fcc600	
patterned vault wall	#8f8f8f	
curtain	#53f1f3	
postbox	#2a1600	crystal of creation
sandstone brick	#5ff0b9	hammerhood
small window	#97e3b9	kitten
fan fern	#c1f016	puppy
gladiolus	#a6a6a6	calf
broken track	#000000	chick
spider web	#f83569	lamb
saloon door	#55ddfd	Temp: Large Male
cocktail shaker	#ffd400	Temp: Thin Male
keg counter	#55ddfd	Temp: Large Female
lantern	#f83569	Temp: Thin Female
spaceship corner 8	#0d3891	Charlene
withered leaves	#007fa4	deadnaut
mark of moonbrooke ***	#6e000d	
orb of heroes	#000000	deadnaut
heartstone ***	#2671ae	deadnaut
rusted relic ***	#f38c0d	skeleton
crash cart 8	#ff6058	Pucho
orb of magic *	#a8cc0d	mimic
simple door	#f7b40d	pocus poppet
simple door	#ffffff	
altar	#004d58	*
candle	#0d3800	*
classical column capital	#2a9775	*
superior saucy spaghetti *	#ff6900	invisible man
pumpkin pie	#bf8226	*
butterbean broth	#8d6273	*
cell door	#b000c9	King
cell door	#ff3822	Jeremiah
left-edged air vent	#ff0000	Esther
air vent midsection	#63fa00	Alvin
right-edged air vent	#c4a600	Tal
individual air vent	#006eff	Warwick
tinting tun	#005b78	Zara
grand piano *	#222222	muscly man
spaceship corner 8	#c92231	crafty crofter
unknown item	#009cff	Haydin
shifting sand	#f4be22	carefree commoner
simple door 8	#a4c1c7	tireless trader
picket gate	#b56c2a	Joseph
(?)	#d01cce	Anessa
